segid  term           pgno
-----  -------------  ----
5                     2   
5      000            4   
5      000f           6   
5      00x7fc930c182  8   
5      010            12  
5      0100           14  
5      010121         16  
5      010594         18  
5      0110           20  
5      011304         22  
5      011934         24  
5      01210          26  
5      012605         28  
5      0130           30  
5      01327          32  
5      013884         34  
5      01406          36  
5      01510          38  
5      01681          40  
5      0184           42  
